name,id,x,y,z,x_min,x_max,y_min,y_max,z_min,z_max,n_pix,f_min,f_max,f_sum,rel,rms,w20,w50,ell_maj,ell_min,ell_pa,ell3s_maj,ell3s_min,ell3s_pa,kin_pa,err_x,err_y,err_z,err_f_sum,ra,dec,freq,flag,wm50,x_peak,y_peak,z_peak,ra_peak,dec_peak,freq_peak
WALLABY J133348-244525,6075.0,2353.3333689961564,888.4392121195942,5577.46179363836,788.0,821.0,577.0,601.0,342.0,435.0,24993.0,-0.00836897362023592,0.01769967190921307,23452.78896632044,1.0,0.002191290337456363,1486559.380105919,1181579.036859961,11.33821289260637,5.534171558854092,83.23952852217049,12.48374714411398,4.951645410443573,84.57805058072506,260.3003045218722,0.2012631954284875,0.1290812271696751,0.6560930683572996,1202.27726259206,203.4513634065274,-24.75713538443222,1.398786329511718E9,0.0,1268182.711395508,808.0,588.0,367.0,203.4464729403942,-24.75788808498083,1.398370370370267E9
WALLABY J133343-205041,5933.0,2354.4040343915676,3235.3623941127394,770.5677694314081,801.0,811.0,429.0,449.0,257.0,284.0,1403.0,-0.004517360124737024,0.003747081849724054,576.3901245209404,0.8324234548413804,0.001413353019267616,427860.8231736929,302518.5061412867,8.040898767901774,3.44873181440439,-10.05276140280598,5.408193718034184,0.0,-12.7321513415705,-1.0,0.3258175330714402,0.7264831204937243,1.139767592917777,183.7278538636161,203.4302456328498,-20.84486155510776,1.309769773507975E9,0.0,421612.9130880475,807.0,442.0,268.0,203.4291635599003,-20.84046788256531,1.309722222222208E9
WALLABY J133329-211151,5716.0,2386.4932946244303,3023.868614177026,4968.290325068892,826.0,854.0,1450.0,1490.0,917.0,988.0,19051.0,-0.005548707209527493,0.0126739414408803,12263.87611741942,1.0,0.001636463569301954,1063791.940045486,819392.1025059368,12.29312493505683,6.879842789600047,-7.46445491807529,13.37169228225506,7.118018643321436,-6.356888139371804,325.9154437915709,0.1598306203808816,0.2747712872971152,0.611705067473074,783.9001464766438,203.3744363899783,-21.1977095312297,1.387505376390073E9,0.0,1059719.949906167,840.0,1478.0,937.0,203.3717284632173,-21.19416628835621,1.387222222222131E9
WALLABY J133328-205305,5552.0,2389.276802404691,3211.5764136927965,4516.494885258912,833.0,850.0,408.0,424.0,474.0,525.0,6744.0,-0.006792026106268167,0.007955373264849186,3484.493987897411,0.9966268477657922,0.001697239676873217,727964.0798206695,557005.1757659926,8.432865527495801,4.396629639071759,62.85374753482986,8.348344320240113,3.492258821197193,60.28433740532162,50.61179545226437,0.2864193036816161,0.2386587008944872,0.7690168261493143,483.7238181232443,203.3682080368884,-20.88476718002565,1.379138794171378E9,0.0,727499.3438683557,838.0,417.0,506.0,203.3740441482018,-20.88237155257119,1.379240740740657E9
WALLABY J133325-220257,5710.0,2397.5888891490913,2512.96437202356,4991.521680289319,842.0,859.0,957.0,975.0,953.0,1000.0,7329.0,-0.005403340328484774,0.006921505089849234,3867.763344746787,0.9808640037597547,0.001733523751465855,639347.4416380356,497576.5151668197,7.479129980847364,5.651202111242119,-46.11916129098891,5.874446764187022,4.433847563240465,-41.73205861559622,233.5249267770114,0.290476463122157,0.2888951130583046,0.7235311084716263,515.0479617012719,203.3580387758302,-22.04941664756413,1.387935586671932E9,0.0,709627.6351305573,850.0,964.0,965.0,203.3573061360187,-22.05102668598936,1.387740740740649E9
WALLABY J133316-240803,6017.0,2424.9729063181926,1262.2474888183738,3533.1817816956313,869.0,884.0,957.0,969.0,657.0,721.0,3533.0,-0.008220633491873741,0.007532927673310041,2180.976919512671,0.780740274520827,0.001781536524348019,955140.026725393,425051.9277653426,5.558430843239027,3.398657768681831,-69.20771017990717,6.003004980980515,3.004765627691733,-68.147911707143,312.5679706126274,0.2782255876474644,0.2180129401792788,1.302263219588401,367.5039952175194,203.3171756202935,-24.13429260744026,1.360929292253557E9,4.0,966541.371956559,876.0,962.0,697.0,203.3189542607842,-24.13469929985217,1.361074074074008E9
WALLABY J133310-240706,6082.0,2437.7818514293663,1271.7467023913498,5541.1676379262,879.0,903.0,959.0,990.0,321.0,383.0,17400.0,-0.008150351233780384,0.01764979213476181,11616.89268232031,1.0,0.001963379157374862,660010.6779814824,558364.2006356074,9.799261500493444,7.471584414133294,25.75347314172097,6.9866667136042,6.593552889654718,-55.16775256943201,13.9823864732695,0.2052080693420628,0.2382201180734015,0.5208769448093418,898.8232875927469,203.2937173985645,-24.11853141504235,1.398114215517049E9,4.0,641164.0316193062,892.0,970.0,342.0,203.28967852964,-24.12145645667155,1.397907407407305E9
WALLABY J133308-233234,4768.0,2440.4061933391536,1616.9973954134612,4205.453885316583,880.0,902.0,60.0,79.0,1327.0,1394.0,11675.0,-0.006371826864778996,0.009846791625022888,7638.442542384587,0.9999844254386624,0.001631476274934809,1003087.888913781,195718.6854167023,6.756886050938859,5.681348075092904,60.88773583405373,6.749851544016009,6.391394906051894,-2.734375446390302,26.18706868404396,0.2004808078453055,0.1809609878695618,0.6974112076385273,611.7933087835336,203.2866403438583,-23.54299838733667,1.373378775653933E9,0.0,1061880.300132929,893.0,69.0,1371.0,203.2855607590221,-23.54299745386268,1.373555555555478E9
WALLABY J133304-215852,5084.0,2446.6678605539064,2553.972212459748,5266.405621778848,889.0,908.0,997.0,1016.0,48.0,109.0,11222.0,-0.005109749268740416,0.01244544703513384,5908.483451328144,1.0,0.001772811887537276,820240.0421996007,653543.9900632292,7.086889427251234,6.05236738583102,-49.08821588600234,7.001824649120444,5.210892681855311,-69.94774060646016,298.2727666282321,0.2247086048596732,0.239583847717353,0.766569485341361,651.7684035854429,203.269543166686,-21.98136391006908,1.393026030032844E9,0.0,823303.6111093812,899.0,1006.0,90.0,203.2689460273926,-21.98131943851823,1.393240740740643E9
WALLABY J133256-233558,5731.0,2468.586252516683,1583.213820425024,4835.493903203893,909.0,930.0,25.0,44.0,783.0,852.0,6585.0,-0.006768628023564816,0.008241777308285236,3692.138729633178,0.995757113580282,0.00178369175075914,1025458.799726573,826566.6893882792,7.400183773521084,4.867522917329104,89.03529866741061,7.308630315207941,5.040676518119141,-80.76422771234154,61.59835239356104,0.2982762292124956,0.223663789710918,1.249779202272851,502.3347344892598,203.2356061866224,-23.59946589939052,1.385046183392575E9,0.0,1031022.971836106,921.0,35.0,839.0,203.2348549105993,-23.59982445793075,1.385407407407317E9
WALLABY J133256-251035,5172.0,2472.0663044939356,637.453721540884,4798.426098982827,906.0,943.0,328.0,351.0,738.0,825.0,14644.0,-0.01351193059235811,0.0136056412011385,12437.77983378299,0.9999950580123559,0.003086254188740225,1193281.017414137,912985.1867214805,14.67064780084634,7.717852585687224,71.07745824964616,15.26595989373289,5.775418876141323,65.80640037751319,242.2291422953836,0.3786704396962038,0.2342581691952113,0.967271696504134,1296.155383503485,203.2350082348556,-25.1765555447997,1.384359742573667E9,0.0,1195137.898873657,925.0,337.0,775.0,203.2332915460869,-25.17731732615352,1.384222222222133E9
WALLABY J133253-241226,6084.0,2476.4993058605614,1218.586661447286,5519.113600425389,916.0,942.0,907.0,931.0,277.0,382.0,24401.0,-0.007198852486908436,0.009938163682818413,13632.03629359849,1.0,0.001974879854215754,1681983.870110095,1435953.738296349,9.017138872337725,6.781882861093422,73.21733277169658,8.719014799874184,6.381410117374078,82.98317581956212,86.11109296049267,0.2099517417371698,0.1875415342670174,1.004127842792593,1070.631476788002,203.2233269565616,-24.20737406079446,1.397705807415183E9,0.0,1683139.118796647,928.0,919.0,325.0,203.224236941926,-24.20668237898821,1.39759259259249E9
WALLABY J133248-230737,5750.0,2486.910933049887,1866.7620784093858,4571.569828837963,933.0,945.0,312.0,327.0,537.0,575.0,3310.0,-0.0071668466553092,0.007872427813708782,1489.255151847384,0.714391561832328,0.001847497464256118,585255.2670744781,364326.7651246978,5.635210483876822,4.944991887961729,37.81848758381645,4.900530358661907,2.257256689052252,51.88948975596102,210.4943804895915,0.3383932959023688,0.3964527533857383,1.169640444653733,368.8870109926805,203.2007495740305,-23.12693621678119,1.380158700533952E9,0.0,593703.2228905311,937.0,320.0,557.0,203.2042062101006,-23.12486375817936,1.380185185185101E9
WALLABY J133247-222656,5715.0,2487.7754662002776,2273.513397630908,4974.184561880206,930.0,951.0,717.0,733.0,914.0,997.0,11792.0,-0.007326564751565456,0.00855205487459898,6643.139228915853,0.9999996783688898,0.0017756535346609,1265669.948221873,1090995.238139292,6.282122260261226,4.619607590711619,73.61417003503544,6.286817303459586,4.312650628477834,58.72615631817958,55.88734411241839,0.2170489653643691,0.1820798243350012,1.117803147104513,669.1869776198613,203.1970688657859,-22.44901686477826,1.387614528923615E9,0.0,1272513.940838476,939.0,726.0,982.0,203.1984648200454,-22.44820217693526,1.388055555555463E9
WALLABY J133245-211455,5633.0,2489.34533682239,2993.693628500902,5404.57123368415,932.0,950.0,1437.0,1454.0,1365.0,1413.0,5465.0,-0.004854648839682341,0.01185387559235096,4133.045192690602,0.9999999999944078,0.001648789023843298,462128.5631518888,399186.6587503582,6.501720544520093,5.201770942427016,-43.13193822571565,5.717428032562865,5.20455172562907,-37.77724923728627,307.5195233122134,0.2283172031181418,0.2163163011167503,0.6101442808498392,423.0149208074969,203.1907127579631,-21.24860188640124,1.395584652475532E9,0.0,423384.6840415259,941.0,1445.0,1382.0,203.1913335980172,-21.24975663851212,1.395462962962863E9
WALLABY J133245-241711,6024.0,2495.3474652173636,1171.2009180936018,3328.7276092721727,938.0,961.0,861.0,879.0,440.0,529.0,11168.0,-0.005669424775987864,0.008878229185938835,5962.566654820816,0.9999999861713403,0.00182207763280124,1499581.365683394,1155866.815183338,6.836631181146522,5.839460788419323,59.90865109759847,6.385224728911797,4.100239643081407,78.35320392587468,100.4867557556738,0.2141326595362328,0.2205866650491252,1.43048126235483,668.2671223587295,203.1891425373643,-24.28647373899211,1.357143103875349E9,0.0,1531833.123662514,949.0,871.0,506.0,203.1861219350222,-24.28681641226094,1.357537037036975E9
WALLABY J133242-233015,5969.0,2500.55623136062,1640.351347707885,4238.386450506995,946.0,959.0,1334.0,1347.0,1376.0,1415.0,2810.0,-0.00457638967782259,0.007255895994603634,1564.776375574686,0.8208736932543741,0.001644782774316451,495524.7976357648,312174.5816518072,4.608282474082166,4.092497330745411,30.9375942076189,3.814465809284051,3.314268868186305,58.2244399746095,167.2998781883766,0.2900540786865036,0.3029962263767382,0.9069306944482319,302.5918485503276,203.1771656724785,-23.50437908469016,1.373988637972273E9,0.0,496644.7402255101,953.0,1340.0,1390.0,203.176360919507,-23.50496673840021,1.373907407407329E9
WALLABY J133239-192504,4804.0,2502.360656399401,4091.1928336686487,5365.362785017544,943.0,966.0,1287.0,1303.0,155.0,205.0,6782.0,-0.01274255663156509,0.01883147284388542,10858.03969614537,0.9759548905828573,0.004569160076869399,702902.4404964211,582238.1738509978,9.114979093149783,6.137603074091682,-83.6246357905927,7.533983629478542,4.935306204750822,-72.44191269617487,273.533777861841,0.3620177425917714,0.237878216754958,0.8247977654278067,1305.902585544512,203.1627931975804,-19.41798434079951,1.394858570092818E9,0.0,699430.3959055995,956.0,1296.0,170.0,203.1598929128596,-19.41664411388841,1.394722222222123E9
WALLABY J133242-252831,5184.0,2504.8440819703765,458.4833025927463,4786.308759447269,948.0,966.0,149.0,167.0,733.0,798.0,8369.0,-0.02294736355543137,0.02736681699752808,13765.4531067618,0.9985795106572422,0.005909770278165956,945078.5547454499,670364.4717095254,8.234522287457166,5.965236621458934,-78.64659861195152,7.436732958532405,4.151236154156374,-76.62602957761025,267.9339138405922,0.2923899433795388,0.2594173460456787,0.9601306060909494,1876.302680379289,203.1756351001777,-25.47533375286848,1.384135347397083E9,0.0,941293.8079654,955.0,159.0,787.0,203.1790367309647,-25.47446316285794,1.384444444444355E9
WALLABY J133236-225242,5720.0,2513.0941246149523,2015.9123737204977,4969.677818188215,959.0,973.0,461.0,475.0,935.0,971.0,3188.0,-0.003910173196345568,0.007073216140270233,1903.122677306085,0.7551746325865456,0.001814157300873641,567054.6552116863,374080.1777774767,5.196868137561405,4.263817388311987,5.436704087586349,4.687272723782047,3.364157343225988,9.517215641213625,189.0495559741439,0.2990485860180132,0.3271315611204764,0.8774490737237775,355.4918207327385,203.1525966205481,-22.87846536436542,1.387531070707097E9,0.0,446394.2426432173,965.0,467.0,953.0,203.1527711470228,-22.87998559987494,1.387518518518426E9
